Part;Value;Device;Footprint Name;Detailed Description;Link;Manuf Part Number;Raw Response;Datasheet URL;Description;Manufacturer;DigiKey Part Number;Pricing;Stock
EMG1:D1;1N4148DO35-10;1N4148DO35-10;DO35-10;DIODE;https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603;1N4148;"{'back_order_not_allowed': False,
 'base_product_number': {'id': 35, 'name': '1N4148'},
 'category': {'category_id': 19,
              'child_categories': [{'category_id': 2042,
                                    'child_categories': [{'category_id': 2085,
                                                          'child_categories': [{'category_id': 280,
                                                                                'child_categories': [],
                                                                                'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/001/149/430/DO-35_1N4148_1_tmb.jpg',
                                                                                'name': 'Single '
                                                                                        'Diodes',
                                                                                'new_product_count': 0,
                                                                                'parent_id': 2085,
                                                                                'product_count': 0,
                                                                                'seo_description': 'Products '
                                                                                                   'within '
                                                                                                   'the '
                                                                                                   'single '
                                                                                                   'rectifier '
                                                                                                   'diode '
                                                                                                   'family '
                                                                                                   'are '
                                                                                                   'used '
                                                                                                   'to '
                                                                                                   'allow '
                                                                                                   'current '
                                                                                                   'flow '
                                                                                                   'in '
                                                                                                   'one '
                                                                                                   'direction '
                                                                                                   'only, '
                                                                                                   'and '
                                                                                                   'implement '
                                                                                                   'exactly '
                                                                                                   'one '
                                                                                                   'instance '
                                                                                                   'of '
                                                                                                   'this '
                                                                                                   'function '
                                                                                                   'per '
                                                                                                   'device '
                                                                                                   'package. '
                                                                                                   'Diodes '
                                                                                                   'used '
                                                                                                   'for '
                                                                                                   'other '
                                                                                                   'purposes '
                                                                                                   '(including '
                                                                                                   'zener '
                                                                                                   'and '
                                                                                                   'variable '
                                                                                                   'capacitance '
                                                                                                   'diodes) '
                                                                                                   'are '
                                                                                                   'listed '
                                                                                                   'separately '
                                                                                                   'in '
                                                                                                   'product '
                                                                                                   'families '
                                                                                                   'of '
                                                                                                   'their '
                                                                                                   'own, '
                                                                                                   'as '
                                                                                                   'are '
                                                                                                   'products '
                                                                                                   'incorporating '
                                                                                                   'multiple '
                                                                                                   'diodes '
                                                                                                   'per '
                                                                                                   'device '
                                                                                                   'package.'}],
                                                          'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/300/349/140/DO-214AC%2CSMA_403D-02_tmb.jpg',
                                                          'name': 'Rectifiers',
                                                          'new_product_count': 0,
                                                          'parent_id': 2042,
                                                          'product_count': 0,
                                                          'seo_description': 'Rectifiers '
                                                                             'are '
                                                                             'a '
                                                                             'diode '
                                                                             'family '
                                                                             'used '
                                                                             'to '
                                                                             'allow '
                                                                             'current '
                                                                             'flow '
                                                                             'in '
                                                                             'one '
                                                                             'direction '
                                                                             'only, '
                                                                             'and '
                                                                             'implement '
                                                                             'exactly '
                                                                             'one '
                                                                             'instance '
                                                                             'of '
                                                                             'this '
                                                                             'function '
                                                                             'per '
                                                                             'device '
                                                                             'package. '
                                                                             'Diodes '
                                                                             'used '
                                                                             'for '
                                                                             'other '
                                                                             'purposes '
                                                                             '(including '
                                                                             'zener '
                                                                             'and '
                                                                             'variable '
                                                                             'capacitance '
                                                                             'diodes) '
                                                                             'are '
                                                                             'listed '
                                                                             'separately '
                                                                             'in '
                                                                             'product '
                                                                             'families '
                                                                             'of '
                                                                             'their '
                                                                             'own, '
                                                                             'as '
                                                                             'are '
                                                                             'products '
                                                                             'incorporating '
                                                                             'multiple '
                                                                             'diodes '
                                                                             'per '
                                                                             'device '
                                                                             'package.'}],
                                    'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/100/961/736/31_SOT-23-3%20PKG_tmb.jpg',
                                    'name': 'Diodes',
                                    'new_product_count': 0,
                                    'parent_id': 19,
                                    'product_count': 0,
                                    'seo_description': 'Diodes are devices '
                                                       'that allow the flow of '
                                                       'current in one '
                                                       'direction and block '
                                                       'current flow in the '
                                                       'opposite direction. '
                                                       'Types of diodes '
                                                       'include current '
                                                       'regulation, bridge '
                                                       'rectifiers, RF, '
                                                       'rectifier arrays, '
                                                       'rectifiers, variable '
                                                       'capacitance (varicaps, '
                                                       'varactors), zener, '
                                                       'zener arrays, and '
                                                       'more.'}],
              'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/010/350/MFG_CAB450M12XM3_tmb.jpg',
              'name': 'Discrete Semiconductor Products',
              'new_product_count': 0,
              'parent_id': 0,
              'product_count': 0,
              'seo_description': 'Discrete semiconductor products include '
                                 'individual transistors, diodes, and '
                                 'thyristors, as well as small arrays of such '
                                 'composed of two, three, four, or some other '
                                 'small number of similar devices within a '
                                 'single package. They are most commonly used '
                                 'for constructing circuits with considerable '
                                 'voltage or current stress, or for realizing '
                                 'very basic circuit functions.'},
 'classifications': {'export_control_class_number': 'EAR99',
                     'htsus_code': '8541.10.0070',
                     'moisture_sensitivity_level': '1  (Unlimited)',
                     'reach_status': 'REACH Unaffected',
                     'rohs_status': 'ROHS3 Compliant'},
 'datasheet_url': 'https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf',
 'date_last_buy_chance': None,
 'description': {'detailed_description': 'Diode 75 V 150mA Surface Mount '
                                         'SOD-323',
                 'product_description': 'DIODE STANDARD 75V 150MA SOD323'},
 'discontinued': False,
 'end_of_life': False,
 'manufacturer': {'id': 353, 'name': 'MCC (Micro Commercial Components)'},
 'manufacturer_lead_weeks': '20',
 'manufacturer_product_number': '1N4148WX-TP',
 'manufacturer_public_quantity': 0,
 'ncnr': False,
 'normally_stocking': True,
 'parameters': [{'parameter_id': 570,
                 'parameter_text': 'Technology',
                 'parameter_type': 'String',
                 'value_id': '407938',
                 'value_text': 'Standard'},
                {'parameter_id': 2071,
                 'parameter_text': 'Voltage - DC Reverse (Vr) (Max)',
                 'parameter_type': 'UnitOfMeasure',
                 'value_id': '75 V',
                 'value_text': '75 V'},
                {'parameter_id': 914,
                 'parameter_text': 'Current - Average Rectified (Io)',
                 'parameter_type': 'String',
                 'value_id': '100303',
                 'value_text': '150mA'},
                {'parameter_id': 2261,
                 'parameter_text': 'Voltage - Forward (Vf) (Max) @ If',
                 'parameter_type': 'CoupledUnitOfMeasure',
                 'value_id': '1 V @ 50 mA',
                 'value_text': '1 V @ 50 mA'},
                {'parameter_id': 143,
                 'parameter_text': 'Speed',
                 'parameter_type': 'String',
                 'value_id': '404017',
                 'value_text': 'Small Signal =< 200mA (Io), Any Speed'},
                {'parameter_id': 552,
                 'parameter_text': 'Reverse Recovery Time (trr)',
                 'parameter_type': 'UnitOfMeasure',
                 'value_id': '4 ns',
                 'value_text': '4 ns'},
                {'parameter_id': 2269,
                 'parameter_text': 'Current - Reverse Leakage @ Vr',
                 'parameter_type': 'CoupledUnitOfMeasure',
                 'value_id': '5 µA @ 75 V',
                 'value_text': '5 µA @ 75 V'},
                {'parameter_id': 718,
                 'parameter_text': 'Capacitance @ Vr, F',
                 'parameter_type': 'String',
                 'value_id': '1',
                 'value_text': '-'},
                {'parameter_id': 69,
                 'parameter_text': 'Mounting Type',
                 'parameter_type': 'String',
                 'value_id': '409393',
                 'value_text': 'Surface Mount'},
                {'parameter_id': 16,
                 'parameter_text': 'Package / Case',
                 'parameter_type': 'String',
                 'value_id': '400241',
                 'value_text': 'SC-76, SOD-323'},
                {'parameter_id': 1291,
                 'parameter_text': 'Supplier Device Package',
                 'parameter_type': 'String',
                 'value_id': '404849',
                 'value_text': 'SOD-323'},
                {'parameter_id': 1686,
                 'parameter_text': 'Operating Temperature - Junction',
                 'parameter_type': 'String',
                 'value_id': '242931',
                 'value_text': '-55°C ~ 150°C'}],
 'photo_url': 'https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6153/353%7ESOD323%7E%7E2.jpg',
 'primary_video_url': 'https://www.digikey.com/api/videos/videoplayer/smallplayer/6163116372001',
 'product_status': {'id': 0, 'status': 'Active'},
 'product_url': 'https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/1N4148WX-TP/717197',
 'product_variations': [{'digi_key_product_number': '1N4148WXTPMSTR-ND',
                         'digi_reel_fee': 0.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 0,
                         'minimum_order_quantity': 3000,
                         'my_pricing': [],
                         'package_type': {'id': 1, 'name': 'Tape & Reel (TR)'},
                         'quantity_availablefor_package_type': 1145000,
                         'standard_package': 0,
                         'standard_pricing': [{'break_quantity': 3000,
                                               'total_price': 54.54,
                                               'unit_price': 0.01818},
                                              {'break_quantity': 6000,
                                               'total_price': 102.6,
                                               'unit_price': 0.0171},
                                              {'break_quantity': 9000,
                                               'total_price': 151.29,
                                               'unit_price': 0.01681},
                                              {'break_quantity': 15000,
                                               'total_price': 192.3,
                                               'unit_price': 0.01282},
                                              {'break_quantity': 21000,
                                               'total_price': 235.2,
                                               'unit_price': 0.0112},
                                              {'break_quantity': 150000,
                                               'total_price': 1530.0,
                                               'unit_price': 0.0102},
                                              {'break_quantity': 300000,
                                               'total_price': 2805.0,
                                               'unit_price': 0.00935}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True},
                        {'digi_key_product_number': '1N4148WXTPMSCT-ND',
                         'digi_reel_fee': 0.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 0,
                         'minimum_order_quantity': 1,
                         'my_pricing': [],
                         'package_type': {'id': 2, 'name': 'Cut Tape (CT)'},
                         'quantity_availablefor_package_type': 1145155,
                         'standard_package': 0,
                         'standard_pricing': [{'break_quantity': 1,
                                               'total_price': 0.1,
                                               'unit_price': 0.1},
                                              {'break_quantity': 10,
                                               'total_price': 0.61,
                                               'unit_price': 0.061},
                                              {'break_quantity': 100,
                                               'total_price': 3.73,
                                               'unit_price': 0.0373},
                                              {'break_quantity': 500,
                                               'total_price': 13.38,
                                               'unit_price': 0.02676},
                                              {'break_quantity': 1000,
                                               'total_price': 23.34,
                                               'unit_price': 0.02334}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True},
                        {'digi_key_product_number': '1N4148WXTPMSDKR-ND',
                         'digi_reel_fee': 7.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 999999999,
                         'minimum_order_quantity': 1,
                         'my_pricing': [],
                         'package_type': {'id': 243, 'name': 'Digi-Reel®'},
                         'quantity_availablefor_package_type': 1145155,
                         'standard_package': 1,
                         'standard_pricing': [{'break_quantity': 1,
                                               'total_price': 0.1,
                                               'unit_price': 0.1},
                                              {'break_quantity': 10,
                                               'total_price': 0.61,
                                               'unit_price': 0.061},
                                              {'break_quantity': 100,
                                               'total_price': 3.73,
                                               'unit_price': 0.0373},
                                              {'break_quantity': 500,
                                               'total_price': 13.38,
                                               'unit_price': 0.02676},
                                              {'break_quantity': 1000,
                                               'total_price': 23.34,
                                               'unit_price': 0.02334}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True}],
 'quantity_available': 1145155,
 'series': {'id': 818, 'name': '-'},
 'shipping_info': None,
 'unit_price': 0.1}";https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R70J103KA01-01.pdf;CAP CER 10000PF 6.3V X7R 0201;Murata Electronics;490-1262-1-ND;[{'break_quantity': 1, 'total_price': 0.08, 'unit_price': 0.08}, {'break_quantity': 10, 'total_price': 0.03, 'unit_price': 0.003}, {'break_quantity': 50, 'total_price': 0.14, 'unit_price': 0.0028}, {'break_quantity': 100, 'total_price': 0.24, 'unit_price': 0.0024}];152138
EMG1:D2;1N4148DO35-10;1N4148DO35-10;DO35-10;DIODE;https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603;1N4148;"{'back_order_not_allowed': False,
 'base_product_number': {'id': 35, 'name': '1N4148'},
 'category': {'category_id': 19,
              'child_categories': [{'category_id': 2042,
                                    'child_categories': [{'category_id': 2085,
                                                          'child_categories': [{'category_id': 280,
                                                                                'child_categories': [],
                                                                                'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/001/149/430/DO-35_1N4148_1_tmb.jpg',
                                                                                'name': 'Single '
                                                                                        'Diodes',
                                                                                'new_product_count': 0,
                                                                                'parent_id': 2085,
                                                                                'product_count': 0,
                                                                                'seo_description': 'Products '
                                                                                                   'within '
                                                                                                   'the '
                                                                                                   'single '
                                                                                                   'rectifier '
                                                                                                   'diode '
                                                                                                   'family '
                                                                                                   'are '
                                                                                                   'used '
                                                                                                   'to '
                                                                                                   'allow '
                                                                                                   'current '
                                                                                                   'flow '
                                                                                                   'in '
                                                                                                   'one '
                                                                                                   'direction '
                                                                                                   'only, '
                                                                                                   'and '
                                                                                                   'implement '
                                                                                                   'exactly '
                                                                                                   'one '
                                                                                                   'instance '
                                                                                                   'of '
                                                                                                   'this '
                                                                                                   'function '
                                                                                                   'per '
                                                                                                   'device '
                                                                                                   'package. '
                                                                                                   'Diodes '
                                                                                                   'used '
                                                                                                   'for '
                                                                                                   'other '
                                                                                                   'purposes '
                                                                                                   '(including '
                                                                                                   'zener '
                                                                                                   'and '
                                                                                                   'variable '
                                                                                                   'capacitance '
                                                                                                   'diodes) '
                                                                                                   'are '
                                                                                                   'listed '
                                                                                                   'separately '
                                                                                                   'in '
                                                                                                   'product '
                                                                                                   'families '
                                                                                                   'of '
                                                                                                   'their '
                                                                                                   'own, '
                                                                                                   'as '
                                                                                                   'are '
                                                                                                   'products '
                                                                                                   'incorporating '
                                                                                                   'multiple '
                                                                                                   'diodes '
                                                                                                   'per '
                                                                                                   'device '
                                                                                                   'package.'}],
                                                          'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/300/349/140/DO-214AC%2CSMA_403D-02_tmb.jpg',
                                                          'name': 'Rectifiers',
                                                          'new_product_count': 0,
                                                          'parent_id': 2042,
                                                          'product_count': 0,
                                                          'seo_description': 'Rectifiers '
                                                                             'are '
                                                                             'a '
                                                                             'diode '
                                                                             'family '
                                                                             'used '
                                                                             'to '
                                                                             'allow '
                                                                             'current '
                                                                             'flow '
                                                                             'in '
                                                                             'one '
                                                                             'direction '
                                                                             'only, '
                                                                             'and '
                                                                             'implement '
                                                                             'exactly '
                                                                             'one '
                                                                             'instance '
                                                                             'of '
                                                                             'this '
                                                                             'function '
                                                                             'per '
                                                                             'device '
                                                                             'package. '
                                                                             'Diodes '
                                                                             'used '
                                                                             'for '
                                                                             'other '
                                                                             'purposes '
                                                                             '(including '
                                                                             'zener '
                                                                             'and '
                                                                             'variable '
                                                                             'capacitance '
                                                                             'diodes) '
                                                                             'are '
                                                                             'listed '
                                                                             'separately '
                                                                             'in '
                                                                             'product '
                                                                             'families '
                                                                             'of '
                                                                             'their '
                                                                             'own, '
                                                                             'as '
                                                                             'are '
                                                                             'products '
                                                                             'incorporating '
                                                                             'multiple '
                                                                             'diodes '
                                                                             'per '
                                                                             'device '
                                                                             'package.'}],
                                    'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/100/961/736/31_SOT-23-3%20PKG_tmb.jpg',
                                    'name': 'Diodes',
                                    'new_product_count': 0,
                                    'parent_id': 19,
                                    'product_count': 0,
                                    'seo_description': 'Diodes are devices '
                                                       'that allow the flow of '
                                                       'current in one '
                                                       'direction and block '
                                                       'current flow in the '
                                                       'opposite direction. '
                                                       'Types of diodes '
                                                       'include current '
                                                       'regulation, bridge '
                                                       'rectifiers, RF, '
                                                       'rectifier arrays, '
                                                       'rectifiers, variable '
                                                       'capacitance (varicaps, '
                                                       'varactors), zener, '
                                                       'zener arrays, and '
                                                       'more.'}],
              'image_url': 'https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/derivates/3/010/350/MFG_CAB450M12XM3_tmb.jpg',
              'name': 'Discrete Semiconductor Products',
              'new_product_count': 0,
              'parent_id': 0,
              'product_count': 0,
              'seo_description': 'Discrete semiconductor products include '
                                 'individual transistors, diodes, and '
                                 'thyristors, as well as small arrays of such '
                                 'composed of two, three, four, or some other '
                                 'small number of similar devices within a '
                                 'single package. They are most commonly used '
                                 'for constructing circuits with considerable '
                                 'voltage or current stress, or for realizing '
                                 'very basic circuit functions.'},
 'classifications': {'export_control_class_number': 'EAR99',
                     'htsus_code': '8541.10.0070',
                     'moisture_sensitivity_level': '1  (Unlimited)',
                     'reach_status': 'REACH Unaffected',
                     'rohs_status': 'ROHS3 Compliant'},
 'datasheet_url': 'https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf',
 'date_last_buy_chance': None,
 'description': {'detailed_description': 'Diode 75 V 150mA Surface Mount '
                                         'SOD-323',
                 'product_description': 'DIODE STANDARD 75V 150MA SOD323'},
 'discontinued': False,
 'end_of_life': False,
 'manufacturer': {'id': 353, 'name': 'MCC (Micro Commercial Components)'},
 'manufacturer_lead_weeks': '20',
 'manufacturer_product_number': '1N4148WX-TP',
 'manufacturer_public_quantity': 0,
 'ncnr': False,
 'normally_stocking': True,
 'parameters': [{'parameter_id': 570,
                 'parameter_text': 'Technology',
                 'parameter_type': 'String',
                 'value_id': '407938',
                 'value_text': 'Standard'},
                {'parameter_id': 2071,
                 'parameter_text': 'Voltage - DC Reverse (Vr) (Max)',
                 'parameter_type': 'UnitOfMeasure',
                 'value_id': '75 V',
                 'value_text': '75 V'},
                {'parameter_id': 914,
                 'parameter_text': 'Current - Average Rectified (Io)',
                 'parameter_type': 'String',
                 'value_id': '100303',
                 'value_text': '150mA'},
                {'parameter_id': 2261,
                 'parameter_text': 'Voltage - Forward (Vf) (Max) @ If',
                 'parameter_type': 'CoupledUnitOfMeasure',
                 'value_id': '1 V @ 50 mA',
                 'value_text': '1 V @ 50 mA'},
                {'parameter_id': 143,
                 'parameter_text': 'Speed',
                 'parameter_type': 'String',
                 'value_id': '404017',
                 'value_text': 'Small Signal =< 200mA (Io), Any Speed'},
                {'parameter_id': 552,
                 'parameter_text': 'Reverse Recovery Time (trr)',
                 'parameter_type': 'UnitOfMeasure',
                 'value_id': '4 ns',
                 'value_text': '4 ns'},
                {'parameter_id': 2269,
                 'parameter_text': 'Current - Reverse Leakage @ Vr',
                 'parameter_type': 'CoupledUnitOfMeasure',
                 'value_id': '5 µA @ 75 V',
                 'value_text': '5 µA @ 75 V'},
                {'parameter_id': 718,
                 'parameter_text': 'Capacitance @ Vr, F',
                 'parameter_type': 'String',
                 'value_id': '1',
                 'value_text': '-'},
                {'parameter_id': 69,
                 'parameter_text': 'Mounting Type',
                 'parameter_type': 'String',
                 'value_id': '409393',
                 'value_text': 'Surface Mount'},
                {'parameter_id': 16,
                 'parameter_text': 'Package / Case',
                 'parameter_type': 'String',
                 'value_id': '400241',
                 'value_text': 'SC-76, SOD-323'},
                {'parameter_id': 1291,
                 'parameter_text': 'Supplier Device Package',
                 'parameter_type': 'String',
                 'value_id': '404849',
                 'value_text': 'SOD-323'},
                {'parameter_id': 1686,
                 'parameter_text': 'Operating Temperature - Junction',
                 'parameter_type': 'String',
                 'value_id': '242931',
                 'value_text': '-55°C ~ 150°C'}],
 'photo_url': 'https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6153/353%7ESOD323%7E%7E2.jpg',
 'primary_video_url': 'https://www.digikey.com/api/videos/videoplayer/smallplayer/6163116372001',
 'product_status': {'id': 0, 'status': 'Active'},
 'product_url': 'https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/1N4148WX-TP/717197',
 'product_variations': [{'digi_key_product_number': '1N4148WXTPMSTR-ND',
                         'digi_reel_fee': 0.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 0,
                         'minimum_order_quantity': 3000,
                         'my_pricing': [],
                         'package_type': {'id': 1, 'name': 'Tape & Reel (TR)'},
                         'quantity_availablefor_package_type': 1145000,
                         'standard_package': 0,
                         'standard_pricing': [{'break_quantity': 3000,
                                               'total_price': 54.54,
                                               'unit_price': 0.01818},
                                              {'break_quantity': 6000,
                                               'total_price': 102.6,
                                               'unit_price': 0.0171},
                                              {'break_quantity': 9000,
                                               'total_price': 151.29,
                                               'unit_price': 0.01681},
                                              {'break_quantity': 15000,
                                               'total_price': 192.3,
                                               'unit_price': 0.01282},
                                              {'break_quantity': 21000,
                                               'total_price': 235.2,
                                               'unit_price': 0.0112},
                                              {'break_quantity': 150000,
                                               'total_price': 1530.0,
                                               'unit_price': 0.0102},
                                              {'break_quantity': 300000,
                                               'total_price': 2805.0,
                                               'unit_price': 0.00935}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True},
                        {'digi_key_product_number': '1N4148WXTPMSCT-ND',
                         'digi_reel_fee': 0.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 0,
                         'minimum_order_quantity': 1,
                         'my_pricing': [],
                         'package_type': {'id': 2, 'name': 'Cut Tape (CT)'},
                         'quantity_availablefor_package_type': 1145155,
                         'standard_package': 0,
                         'standard_pricing': [{'break_quantity': 1,
                                               'total_price': 0.1,
                                               'unit_price': 0.1},
                                              {'break_quantity': 10,
                                               'total_price': 0.61,
                                               'unit_price': 0.061},
                                              {'break_quantity': 100,
                                               'total_price': 3.73,
                                               'unit_price': 0.0373},
                                              {'break_quantity': 500,
                                               'total_price': 13.38,
                                               'unit_price': 0.02676},
                                              {'break_quantity': 1000,
                                               'total_price': 23.34,
                                               'unit_price': 0.02334}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True},
                        {'digi_key_product_number': '1N4148WXTPMSDKR-ND',
                         'digi_reel_fee': 7.0,
                         'market_place': False,
                         'max_quantity_for_distribution': 999999999,
                         'minimum_order_quantity': 1,
                         'my_pricing': [],
                         'package_type': {'id': 243, 'name': 'Digi-Reel®'},
                         'quantity_availablefor_package_type': 1145155,
                         'standard_package': 1,
                         'standard_pricing': [{'break_quantity': 1,
                                               'total_price': 0.1,
                                               'unit_price': 0.1},
                                              {'break_quantity': 10,
                                               'total_price': 0.61,
                                               'unit_price': 0.061},
                                              {'break_quantity': 100,
                                               'total_price': 3.73,
                                               'unit_price': 0.0373},
                                              {'break_quantity': 500,
                                               'total_price': 13.38,
                                               'unit_price': 0.02676},
                                              {'break_quantity': 1000,
                                               'total_price': 23.34,
                                               'unit_price': 0.02334}],
                         'supplier': {'id': 353,
                                      'name': 'MCC (Micro Commercial '
                                              'Components)'},
                         'tariff_active': True}],
 'quantity_available': 1145155,
 'series': {'id': 818, 'name': '-'},
 'shipping_info': None,
 'unit_price': 0.1}";https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R70J103KA01-01.pdf;CAP CER 10000PF 6.3V X7R 0201;Murata Electronics;490-1262-1-ND;[{'break_quantity': 1, 'total_price': 0.08, 'unit_price': 0.08}, {'break_quantity': 10, 'total_price': 0.03, 'unit_price': 0.003}, {'break_quantity': 50, 'total_price': 0.14, 'unit_price': 0.0028}, {'break_quantity': 100, 'total_price': 0.24, 'unit_price': 0.0024}];152138
