;Count;Manuf Part Number;Description;DigiKey Part Number;Cumulative Price (USD)
0;2;1N4148;DIODE STANDARD 75V 150MA SOD323;1N4148WXTPMSCT-ND;0.2
1;5;885012005024;CAP CER 6.8PF 16V C0G/NP0 0402;732-7440-1-ND;0.5
2;1;BQ21040DBVR;IC BATT CHG LI-ION 1CELL SOT23-6;296-47315-1-ND;0.89
3;1;BQ29700DSER;IC BATT PROT LI-ION 1CELL 6WSON;296-43985-1-ND;0.51
4;2;C0402C150J8HACTU;CAP CER 15PF 10V X8R 0402;399-C0402C150J8HACTUCT-ND;0.2
5;1;C0402C224K9PACTU;CAP CER 0.22UF 6.3V X5R 0402;399-4886-1-ND;0.08
6;2;C0603C106M9PACTU;CAP CER 10UF 6.3V X5R 0603;399-C0603C106M9PACTUCT-ND;0.56
7;1;C0603C472F5GACTU;CAP CER 4700PF 50V C0G/NP0 0603;399-C0603C472F5GACTUCT-ND;1.29
8;1;C0805C103F5GECTU;CAP CER 0805 10NF 50V C0G 1%;399-C0805C103F5GECTUCT-ND;1.4
9;1;C410C105K5R5TA7200;CAP CER 1UF 50V X7R AXIAL;399-C410C105K5R5TA7200CT-ND;0.47
10;8;CL03A105MQ3CSNC;CAP CER 1UF 6.3V X5R 0201;1276-1325-1-ND;0.64
11;2;CL10B475KQ8NQNC;CAP CER 4.7UF 6.3V X7R 0603;1276-2087-1-ND;0.26
12;2;CL21A226KQCLRNC;CAP CER 22UF 6.3V X5R 0805;1276-6687-1-ND;0.26
13;2;CL32B226KAJNNNE;CAP CER 22UF 25V X7R 1210;1276-3392-1-ND;1.12
14;1;CRG0805F2K2;RES SMD 2.2K OHM 1% 1/8W 0805;A106060CT-ND;0.1
15;2;DG103350;THERMISTOR NTC 10KOHM 3475K BEAD;570-1178-ND;3.92
16;1;ECS-400-10-37B2-CKY-TR;CRYSTAL 40.0000MHZ 10PF SMD;50-ECS-400-10-37B2-CKY-TRCT-ND;0.37
17;1;ERA-6AEB124V;RES SMD 120K OHM 0.1% 1/8W 0805;P120KDACT-ND;0.1
18;1;ERA-6AEB134V;RES SMD 130K OHM 0.1% 1/8W 0805;10-ERA-6AEB134VCT-ND;0.1
19;1;ESP32-S3FN8;IC RF TXRX+MCU BLE 56QFN;1965-ESP32-S3FN8CT-ND;4.05
20;1;FS8205A;DUAL N-CHANNEL ENHANCEMENT MODE;5272-FS8205ACT-ND;0.34
21;1;GJM0335C1E7R5BB01D;CAP CER 7.5PF 25V C0G/NP0 0201;490-GJM0335C1E7R5BB01DCT-ND;0.1
22;6;GRM033C70J104KE14D;CAP CER 0.1UF 6.3V X7S 0201;490-17675-1-ND;0.48
23;1;GRM033R70J103JA01D;CAP CER 10000PF 6.3V X7R 0201;490-16599-1-ND;0.1
24;1;GRM033R70J103KA01D;CAP CER 10000PF 6.3V X7R 0201;490-1262-1-ND;0.08
25;1;HRG3216P-3000-B-T1;RES SMD 300 OHM 0.1% 1W 1206;408-HRG3216P-3000-B-T1CT-ND;0.85
26;1;ICM-20948;IMU ACCEL/GYRO/COMPI2C/SPI 24QFN;1428-1123-1-ND;6.78
27;1;INA106U-2K5;IC OPAMP DIFF 1 CIRCUIT 8SOIC;296-44259-1-ND;11.03
28;1;KGM05AR71C103JH;CAP CER 10000PF 16V X7R 0402;478-KGM05AR71C103JHCT-ND;0.1
