Part;Value;Device;Footprint Name;Detailed Description;Link;Manuf Part Number;Datasheet URL;Description;Manufacturer;DigiKey Part Number;Pricing;Stock;Package/Footprint
EMG1:D1;1N4148DO35-10;1N4148DO35-10;DO35-10;DIODE;https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603;1N4148;https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf;DIODE STANDARD 75V 150MA SOD323;MCC (Micro Commercial Components);1N4148WXTPMSCT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.61, 'unit_price': 0.061}, {'break_quantity': 100, 'total_price': 3.73, 'unit_price': 0.0373}, {'break_quantity': 500, 'total_price': 13.38, 'unit_price': 0.02676}, {'break_quantity': 1000, 'total_price': 23.34, 'unit_price': 0.02334}];1138405;SC-76, SOD-323
EMG1:D2;1N4148DO35-10;1N4148DO35-10;DO35-10;DIODE;https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603;1N4148;https://www.mccsemi.com/pdf/Products/1N4148WX(SOD-323).pdf;DIODE STANDARD 75V 150MA SOD323;MCC (Micro Commercial Components);1N4148WXTPMSCT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.61, 'unit_price': 0.061}, {'break_quantity': 100, 'total_price': 3.73, 'unit_price': 0.0373}, {'break_quantity': 500, 'total_price': 13.38, 'unit_price': 0.02676}, {'break_quantity': 1000, 'total_price': 23.34, 'unit_price': 0.02334}];1138405;SC-76, SOD-323
EMG1:TM1;100k;TRIMPOTTC33X;TC33X;SMT trimmer potentiometer part number TC33X;https://www.digikey.ca/en/products/detail/bourns-inc/TC33X-2-104E/612859;TC33X-2-104E;https://www.bourns.com/docs/Product-Datasheets/TC33.pdf;TRIMMER 100KOHM 0.15W J LEAD TOP;Bourns Inc.;TC33X-104ECT-ND;[{'break_quantity': 1, 'total_price': 0.25, 'unit_price': 0.25}, {'break_quantity': 10, 'total_price': 2.13, 'unit_price': 0.213}, {'break_quantity': 25, 'total_price': 4.99, 'unit_price': 0.1996}, {'break_quantity': 50, 'total_price': 9.48, 'unit_price': 0.1896}, {'break_quantity': 100, 'total_price': 18.0, 'unit_price': 0.18}, {'break_quantity': 250, 'total_price': 42.0, 'unit_price': 0.168}, {'break_quantity': 500, 'total_price': 79.69, 'unit_price': 0.15938}, {'break_quantity': 1000, 'total_price': 151.19, 'unit_price': 0.15119}];61073;
EMG1:U$1;INA106U/2K5;INA106U/2K5;INA106U/2K5;Differential Amplifier;https://www.digikey.ca/en/products/detail/texas-instruments/INA106U-2K5/1509706?s=N4IgTCBcDaIJIDkCCBGADANgKoHowGkBWEAXQF8g;INA106U-2K5;https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fina106;IC OPAMP DIFF 1 CIRCUIT 8SOIC;Texas Instruments;296-44259-1-ND;[{'break_quantity': 1, 'total_price': 11.03, 'unit_price': 11.03}, {'break_quantity': 10, 'total_price': 86.36, 'unit_price': 8.636}, {'break_quantity': 25, 'total_price': 200.92, 'unit_price': 8.0368}, {'break_quantity': 100, 'total_price': 737.85, 'unit_price': 7.3785}, {'break_quantity': 250, 'total_price': 1766.16, 'unit_price': 7.06464}, {'break_quantity': 500, 'total_price': 3437.72, 'unit_price': 6.87544}, {'break_quantity': 1000, 'total_price': 6719.74, 'unit_price': 6.71974}];1981;"8-SOIC (0.154"", 3.90mm Width)"
EMG1:U$7;RNCS0805BKE150K;RNCS0805BKE150K;RNCS0805BKE150K;150K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCS0805BKE150K/1800071;RNCS0805BKE150K;https://www.seielect.com/catalog/SEI-RNCS.pdf;RES 150K OHM 0.1% 1/10W 0805;Stackpole Electronics Inc;738-RNCS0805BKE150KCT-ND;[{'break_quantity': 1, 'total_price': 0.17, 'unit_price': 0.17}, {'break_quantity': 10, 'total_price': 1.45, 'unit_price': 0.145}, {'break_quantity': 25, 'total_price': 3.35, 'unit_price': 0.134}, {'break_quantity': 50, 'total_price': 6.33, 'unit_price': 0.1266}, {'break_quantity': 100, 'total_price': 11.97, 'unit_price': 0.1197}, {'break_quantity': 250, 'total_price': 27.79, 'unit_price': 0.11116}, {'break_quantity': 500, 'total_price': 52.65, 'unit_price': 0.1053}];1930;0805 (2012 Metric)
EMG1:U$8;TAP105J035SCS;TAP105J035SCS;TAP105J035SCS;1uF Tantalum Capacitor Polarized 5% 35V;https://www.digikey.ca/en/products/detail/kyocera-avx/TAP105J035SCS/1471024;TAP105J035SCS;https://datasheets.kyocera-avx.com/tap.pdf;CAP TANT 1UF 5% 35V RADIAL;KYOCERA AVX;478-TAP105J035SCS-ND;[{'break_quantity': 1, 'total_price': 0.83, 'unit_price': 0.83}, {'break_quantity': 10, 'total_price': 5.24, 'unit_price': 0.524}, {'break_quantity': 50, 'total_price': 20.16, 'unit_price': 0.4032}, {'break_quantity': 100, 'total_price': 36.6, 'unit_price': 0.366}, {'break_quantity': 500, 'total_price': 151.68, 'unit_price': 0.30336}, {'break_quantity': 1000, 'total_price': 283.98, 'unit_price': 0.28398}, {'break_quantity': 3000, 'total_price': 780.15, 'unit_price': 0.26005}, {'break_quantity': 5000, 'total_price': 1256.0, 'unit_price': 0.2512}];2729;Radial
EMG1:U$9;RNCF0402BTE10K0;RNCF0402BTE10K0;RNCF0402BTE10K0;10K Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0402BTE10K0/1710765;RNCF0402BTE10K0;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 10K OHM 0.1% 1/10W 0402;Stackpole Electronics Inc;RNCF0402BTE10K0CT-ND;[{'break_quantity': 1, 'total_price': 0.1, 'unit_price': 0.1}, {'break_quantity': 10, 'total_price': 0.7, 'unit_price': 0.07}, {'break_quantity': 25, 'total_price': 1.6, 'unit_price': 0.064}, {'break_quantity': 50, 'total_price': 3.17, 'unit_price': 0.0634}, {'break_quantity': 100, 'total_price': 5.88, 'unit_price': 0.0588}, {'break_quantity': 250, 'total_price': 13.39, 'unit_price': 0.05356}, {'break_quantity': 500, 'total_price': 26.37, 'unit_price': 0.05274}, {'break_quantity': 1000, 'total_price': 47.05, 'unit_price': 0.04705}];4597;0402 (1005 Metric)
EMG1:U$10;C410C105K5R5TA7200;C410C105K5R5TA7200;C410C105K5R5TA7200;Capacitor Ceramic Disc 1 uF 10% 50V;https://www.digikey.ca/en/products/detail/kemet/C410C105K5R5TA7200/6687910;C410C105K5R5TA7200;https://search.kemet.com/download/datasheet/C410C105K5R5TA7200;CAP CER 1UF 50V X7R AXIAL;KEMET;399-C410C105K5R5TA7200CT-ND;[{'break_quantity': 1, 'total_price': 0.47, 'unit_price': 0.47}, {'break_quantity': 10, 'total_price': 2.86, 'unit_price': 0.286}, {'break_quantity': 50, 'total_price': 10.51, 'unit_price': 0.2102}, {'break_quantity': 100, 'total_price': 16.8, 'unit_price': 0.168}, {'break_quantity': 500, 'total_price': 76.81, 'unit_price': 0.15362}, {'break_quantity': 1000, 'total_price': 142.03, 'unit_price': 0.14203}, {'break_quantity': 2500, 'total_price': 324.525, 'unit_price': 0.12981}];17061;Axial
EMG1:U$11;C0805C103F5GECTU;C0805C103F5GECTU;C0805C103F5GECTU;Capacitor Ceramic Disc 0.01 uF 1% 50V;https://www.digikey.ca/en/products/detail/kemet/C0805C103F5GECTU/8644430;C0805C103F5GECTU;https://search.kemet.com/download/datasheet/C0805C103F5GEC7800;CAP CER 0805 10NF 50V C0G 1%;KEMET;399-C0805C103F5GECTUCT-ND;[{'break_quantity': 1, 'total_price': 1.4, 'unit_price': 1.4}, {'break_quantity': 10, 'total_price': 9.22, 'unit_price': 0.922}, {'break_quantity': 50, 'total_price': 36.57, 'unit_price': 0.7314}, {'break_quantity': 100, 'total_price': 67.28, 'unit_price': 0.6728}, {'break_quantity': 500, 'total_price': 286.8, 'unit_price': 0.5736}, {'break_quantity': 1000, 'total_price': 542.92, 'unit_price': 0.54292}];683;0805 (2012 Metric)
EMG1:U$12;RNCF0603BKC1M00;RNCF0603BKC1M00;RNCF0603BKC1M00;1M Resistor 0.1% 1/10W;https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/RNCF0603BKC1M00/6260857;RNCF0603BKC1M00;https://www.seielect.com/catalog/SEI-RNCF.pdf;RES SMD 1M OHM 0.1% 1/10W 0603;Stackpole Electronics Inc;RNCF0603BKC1M00CT-ND;[{'break_quantity': 1, 'total_price': 0.11, 'unit_price': 0.11}, {'break_quantity': 10, 'total_price': 0.84, 'unit_price': 0.084}, {'break_quantity': 25, 'total_price': 1.97, 'unit_price': 0.0788}, {'break_quantity': 50, 'total_price': 3.76, 'unit_price': 0.0752}, {'break_quantity': 100, 'total_price': 6.98, 'unit_price': 0.0698}, {'break_quantity': 250, 'total_price': 16.51, 'unit_price': 0.06604}];7470;0603 (1608 Metric)
