"Part";"Value";"Device";"Footprint Name";"Detailed Description";"AVAILABILITY";"CATEGORY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"MPN";"OPERATING_TEMPERATURE";"PACKAGE";"PACKAGE_SIZE";"PACKAGE_TYPE";"PARTREV";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"REFDES";"ROHS";"SERIES";"SNAPEDA_PACKAGE_ID";"SPICEPREFIX";"STANDARD";"SUBCATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"EMG1:D1";"1N4148DO35-10";"1N4148DO35-10";"DO35-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:D2";"1N4148DO35-10";"1N4148DO35-10";"DO35-10";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:TM1";"100k";"TRIMPOTTC33X";"TC33X";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$1";"INA106U/2K5";"INA106U/2K5";"INA106U/2K5";"Differential Amplifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$7";"RNCS0805BKE150K";"RNCS0805BKE150K";"RNCS0805BKE150K";"150K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$8";"TAP105J035SCS";"TAP105J035SCS";"TAP105J035SCS";"1uF Tantalum Capacitor Polarized 5% 35V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$9";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"10K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$10";"C410C105K5R5TA7200";"C410C105K5R5TA7200";"C410C105K5R5TA7200";"Capacitor Ceramic Disc 1 uF 10% 50V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$11";"C0805C103F5GECTU";"C0805C103F5GECTU";"C0805C103F5GECTU";"Capacitor Ceramic Disc 0.01 uF 1% 50V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$12";"RNCF0603BKC1M00";"RNCF0603BKC1M00";"RNCF0603BKC1M00";"1M Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$13";"RNCF0603BKC1M00";"RNCF0603BKC1M00";"RNCF0603BKC1M00";"1M Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$14";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"10K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$15";"RNCS0805BKE150K";"RNCS0805BKE150K";"RNCS0805BKE150K";"150K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$16";"RNCS0805BKE150K";"RNCS0805BKE150K";"RNCS0805BKE150K";"150K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$17";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"10K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EMG1:U$19";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"10K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
