Index,Manufacturer Part Number,Manufacturer Name,Requested Part Number,Quantity
1,1N4148,MCC (Micro Commercial Components),1N4148WXTPMSCT-ND,2
2,885012005024,Würth Elektronik,732-7440-1-ND,5
3,BQ21040DBVR,Texas Instruments,296-47315-1-ND,1
4,BQ29700DSER,Texas Instruments,296-43985-1-ND,1
5,C0402C150J8HACTU,KEMET,399-C0402C150J8HACTUCT-ND,2
6,C0402C224K9PACTU,KEMET,399-4886-1-ND,1
7,C0603C106M9PACTU,KEMET,399-C0603C106M9PACTUCT-ND,2
8,C0603C472F5GACTU,KEMET,399-C0603C472F5GACTUCT-ND,1
9,C0805C103F5GECTU,KEMET,399-C0805C103F5GECTUCT-ND,1
10,C410C105K5R5TA7200,KEMET,399-C410C105K5R5TA7200CT-ND,1
11,CL03A105MQ3CSNC,Samsung Electro-Mechanics,1276-1325-1-ND,8
12,CL10B475KQ8NQNC,Samsung Electro-Mechanics,1276-2087-1-ND,4
13,CL21A226KQCLRNC,Samsung Electro-Mechanics,1276-6687-1-ND,2
14,CL32B226KAJNNNE,Samsung Electro-Mechanics,1276-3392-1-ND,2
15,CRG0805F2K2,TE Connectivity Passive Product,A106060CT-ND,1
16,DG103350,Vishay Ametherm,570-1178-ND,2
17,ECS-400-10-37B2-CKY-TR,ECS Inc.,50-ECS-400-10-37B2-CKY-TRCT-ND,1
18,ERA-6AEB124V,Panasonic Electronic Components,P120KDACT-ND,1
19,ERA-6AEB134V,Panasonic Electronic Components,10-ERA-6AEB134VCT-ND,1
20,ESP32-S3FN8,Espressif Systems,1965-ESP32-S3FN8CT-ND,1
21,FS8205A,EVVO,5272-FS8205ACT-ND,1
22,GJM0335C1E7R5BB01D,Murata Electronics,490-GJM0335C1E7R5BB01DCT-ND,1
23,GRM033C70J104KE14D,Murata Electronics,490-17675-1-ND,6
24,GRM033R70J103JA01D,Murata Electronics,490-16599-1-ND,1
25,GRM033R70J103KA01D,Murata Electronics,490-1262-1-ND,1
26,HRG3216P-3000-B-T1,Susumu,408-HRG3216P-3000-B-T1CT-ND,1
27,ICM-20948,TDK InvenSense,1428-1123-1-ND,1
28,INA106U-2K5,Texas Instruments,296-44259-1-ND,1
29,KGM05AR71C103JH,KYOCERA AVX,478-KGM05AR71C103JHCT-ND,1
30,LQP03TN2N0B02D,Murata Electronics,490-6722-1-ND,3
31,LQW18AN24NJ00D,Murata Electronics,490-6878-1-ND,1
32,LTST-C170GKT,Lite-On Inc.,160-1179-1-ND,2
33,MBRM120ET1G,onsemi,MBRM120ET1GOSCT-ND,3
34,NCP167BMX330TBG,onsemi,NCP167BMX330TBGOSCT-ND,1
35,P3519R-102J,Delevan,P3519R-102JCT-ND,1
36,PESD4V0Y1BSFYL,Nexperia USA Inc.,1727-7840-1-ND,5
37,PTS810SJM250SMTR-LFS,C&K,CKN10502CT-ND,2
38,RAF040P01TCL,Rohm Semiconductor,RAF040P01TCLCT-ND,1
39,RC0603FR-0747KL,YAGEO,311-47.0KHRCT-ND,2
40,RC1206JR-07330RL,YAGEO,311-330ERCT-ND,1
41,RG1005P-152-B-T5,Susumu,RG10P1.5KBCT-ND,2
42,RG1608P-4990-B-T5,Susumu,RG16P499BCT-ND,3
43,RN73H1JTTD8353F25,"KOA Speer Electronics, Inc.",2019-RN73H1JTTD8353F25CT-ND,1
44,RNCF0402BTE10K0,Stackpole Electronics Inc,RNCF0402BTE10K0CT-ND,11
45,RNCF0603BKC1M00,Stackpole Electronics Inc,RNCF0603BKC1M00CT-ND,3
46,RNCF0805DTE82K0,Stackpole Electronics Inc,738-RNCF0805DTE82K0CT-ND,2
47,RNCF1206TKY1K00,Stackpole Electronics Inc,RNCF1206TKY1K00CT-ND,1
48,RNCS0805BKE150K,Stackpole Electronics Inc,738-RNCS0805BKE150KCT-ND,3
49,RT1206BRE07900KL,YAGEO,13-RT1206BRE07900KLCT-ND,1
50,TAP105J035SCS,KYOCERA AVX,478-TAP105J035SCS-ND,2
51,TC33X-2-104E,Bourns Inc.,TC33X-104ECT-ND,1
52,TL072HIDR,Texas Instruments,296-TL072HIDRCT-ND,3
53,TPS61232DRCT,Texas Instruments,296-37990-1-ND,1
54,TPS65130RGER,Texas Instruments,296-17080-1-ND,1
55,USB4105-GF-A,GCT,2073-USB4105-GF-ACT-ND,1
